FileName,heading,paragraph
0001_NLI_GO_MS_66_0001r,Challoner Ball,"Rose daughter of Walter Ball of Dublin Alderman and Mayor, and wife to Luke Challoner Doctor of Divinity by whom she had issue divers children (all dead young one daughter excepted named Phoebe) deceased of the plague the six and twentieth of October ano 1604. and is buried in Trinitiy College by Dublin with most of her issue.",
0001_NLI_GO_MS_66_0001r,Noble Ryan,"Mary daughter of James Ryan sometime Sheriff of Dublin and wife to Richard Noble Gentleman, deceased at Thristledermot in December the year of grace 1604 and is buried in Dublin."
0002_NLI_GO_MS_66_0001v,"Segrave, Billesworth & Wafer Tyrrell","Mary Lady Tyrell, daughter of Walter Segrave Alderman, Mayor of Dublin, & wife to Sir John Tyrell Knight Alderman and Mayor of the same city: deceased in December 1604. and is, buried in St Audoen’s Church. She had issue Walter, Matthew, Richard, Edward, Cicilie (wife to Nicholas Stevens, sometime sheriff of Dublin) Margaret and three more dead in their infancy."
0002_NLI_GO_MS_66_0001v,Fitz Williams Blake,"Martin Blake of Athboy, learned in the laws, was buried in the church of Athboy the third of March 1604. He had to wife Elizabeth daughter of Michael Fitz Williams of Donamor, second son of Richard of Merion."
0003_NLI_GO_MS_66_0002r,Bolton,"Peter Bolton Provost Marshall of Leinster deceased the fourth of March 1604 of a wound which some days before he received in the streets of Dublin."
0003_NLI_GO_MS_66_0002r,Loftus,"Isabell  to Sir William Ussher Knight, Ales to Sir Henry Warren Knight, Martha to Sir Thomas Colclough Knight, Anne, first to Captain Henry Colley, 2. to Captain George Blount, and 3. to Sir Edward Blaney Knight. Jane to Sir Francis Berkley Knight, and Dorothie to Sir John More Knight. The Lord Chancellor deceased at St. Sepulchre the first of Aprill 1605, the 72. year of his age, the 24 year of his Chancellorship and of his consecration, and is buried in St Patrick’s Dublin."
0004_NLI_GO_MS_66_0002v,,"Isabell  to Sir William Ussher Knight, Ales to Sir Henry Warren Knight, Martha to Sir Thomas Colclough Knight, Anne, first to Captain Henry Colley, 2. to Captain George Blount, and 3. to Sir Edward Blaney Knight. Jane to Sir Francis Berkley Knight, and Dorothie to Sir John More Knight. The Lord Chancellor deceased at St. Sepulchre the first of Aprill 1605, the 72. year of his age, the 24 year of his Chancellorship and of his consecration, and is buried in St Patrick’s Dublin."
0004_NLI_GO_MS_66_0002v,Toto or Tote Calthorpe,"Winifrid daughter of Antonio Toto a Florentine of King Henry VIII’s Privy Chamber and his Serjeant Painter) and wife to Sir Charles Calthorpe Knight (sometime Attorney General and now one of the Justices of the Common Pleas deceased the first of Auguste 1605. She left no issue by Sir Charles."
0005_NLI_GO_MS_66_0003r,Fitz-Williams Birne,"William Fitz Williams of Jobstown deceased of the plague at Merion the xxiii of August 1605: he did a few weeks before marry Gennet daughter of Gerald Birne of Ballyhorsey and had no issue, he is buried in the church of Tallaght."
0005_NLI_GO_MS_66_0003r,,"Sir George Bourchier Knight Master of the Ordinance and of the Privy Council of Ireland, 3. son to John Earl of Bath, had to wife Martha sister of Charles Howard Earl of Nottingham etc. by whom he left issue Thomas, John and Henry. He deceased the xxiiii. September 1605. and is buried in Christ Church Dublin."
0006_NLI_GO_MS_66_0003v,Taylor Hedge,James Taylor Sheriff of Dublin deceased the twentieth of December 1605.
0006_NLI_GO_MS_66_0003v,Barnewall Dowdall,"John Barnewall of Brimore had to wife Eleonor daughter of Sir James Dowdall Knight, Chief Justice of the King’s Bench by whom he had issue James, Richard, Edward, Peter, Patrick, Robert & Andrew: Margaret wife to Edward Taafe of Cookston, Mary to James Fleming of Derpatrick, Elizabeth to Richard Vernon of Stabannon, Ismay, Ales, Katherine, Anne, Brigid, Ursula, & Eleonor. He deceased at Brimore the xv. of February 1605. & is buried at Balrothery."
